"original_name","new_name"
"estimated_avoidable_deaths","estimated_avoidable_deaths"
"(SWASFT) Number of HCP Incidents","xswanohi"
"(SWASFT) Number of NHS 111 Incidents","xswnoni"
"(Severnside) Calls Answered","xsvrnca"
"(Severnside) Calls Answered Within 60 Seconds","xscaws"
"(Severnside) Calls Received","xsvrncr"
"(Severnside) Calls Triaged","xsvrnct"
"(Severnside) HCP Calls Answered","xshcpca"
"(Severnside) Referred to 999 - C1 Ambulances","xsrtca"
"(Severnside) Referred to 999 - C2 Ambulances","xsrtca.1"
"(Severnside) Referred to 999 - C3 Ambulances","xsrtca.2"
"(Severnside) Referred to 999 - C4 Ambulances","xsrtca.3"
"(Severnside) Referred to ED","xsvrted"
"A&E attends - paediatrics","aeattp"
"Adult critical care beds occupied","adltccbo"
"Beds occupied by long-stay patients (21+ days)","boblpd"
"Closed TOC Docs to all pathways","ctocdtap"
"Critical Care beds - Adult critical care beds occupied","ccbaccbo"
"Critical Care beds - Neonatal intensive care cots occupied","ccbnicco"
"Critical Care beds - Paediatric intensive care beds occupied","ccbpicbo"
"Deficit of Discharges at 1100 - With Definite Discharges Known","dodawddk"
"Deficit of Discharges at 1100 - With Definite and Potential Discharges Identified","dodawdapdi"
"DtA Community P2 Bed Occupied","dtacpbo"
"DtA P1 BOOKED AND UN-BOOKED Waiting for capacity, medically fit and NOT in an acute","dpbauwfcmfaniaa"
"DtA P1 BOOKED AND UN-BOOKED Waiting for capacity, medically fit and ready to leave ACUTE","dapbauwfcmfartla"
"DtA P1 BOOKED Waiting for capacity, medically fit and NOT in an acute","dpbwfcmfaniaa"
"DtA P1 BOOKED Waiting for capacity, medically fit and ready to leave ACUTE","dapbwfcmfartla"
"DtA P1 Referrals Received","dtaprfr"
"DtA P1 TOTAL (BOOKED AND UNBOOKED) Waiting for capacity and medically fit, and in any setting (acute and non-acute)","dptauwfcamfaiasan"
"DtA P1 UNBOOKED Waiting for capacity, medically fit and NOT in an acute","dpuwfcmfaniaa"
"DtA P1 UNBOOKED Waiting for capacity, medically fit and ready to leave acute","dapuwfcmfartla"
"DtA P1 slots booked","dtapslb"
"DtA P2 BOOKED Waiting for capacity, medically fit and ready to leave ACUTE","dapbwfcmfartla.1"
"DtA P2 Beds Occupied","dtapbdo"
"DtA P2 Referrals Received","dtaprfr.1"
"DtA P2 TOTAL BOOKED AND UN-BOOKED Waiting for capacity, medically fit and ready to leave ACUTE","dptbauwfcmfartla"
"DtA P2 UNBOOKED Waiting for capacity, medically fit and ready to leave acute","dapuwfcmfartla.1"
"DtA P2 referrals received","dtaprfr.2"
"DtA P3 BOOKED AND UN-BOOKED Waiting for capacity, medically fit and ready to leave ACUTE","dapbauwfcmfartla.1"
"DtA P3 BOOKED Waiting for capacity, medically fit and ready to leave ACUTE","dapbwfcmfartla.2"
"DtA P3 TOTAL (BOOKED AND UNBOOKED) Waiting for capacity and medically fit and in any setting (acute and transitional bed)","dptauwfcamfaiasatb"
"DtA P3 UNBOOKED Waiting for capacity, medically fit and ready to leave acute","dapuwfcmfartla.2"
"DtA P3 beds occupied","dtapbdo.1"
"DtA SBRU P2 rehabilitation beds occupied","dasbprbo"
"DtA SBRU P2 stroke beds occupied","dasbpsbo"
"Escalation beds open","escltnbo"
"G&A Bed occupancy","gabdocc"
"G&A beds, core stock open","gabcso"
"No of referrals received for DtA P3","norrfdap"
"Number of Admissions","nmbrofad"
"Number of Cardiac Outliers","nmbrofco"
"Number of Discharges","nmbrofds"
"Number of GP expected diverts to ED","nogpedte"
"Number of Medical Outliers","nmbrofmo"
"Number of Outliers (excluding paediatrics) at 1000","noopa"
"Number of Surgical Outliers","nmbrofso"
"Number of critical care beds available at 8am (today)","noccbaa"
"Number of empty beds on assessment units 8am (today)","noeboau"
